,scoreText,scoreTextFrGT
230,0.41250000000000003,0.41250000000000003
232,0.7,0.7
235,0.4833333333333334,0.4833333333333334
239,0.06285714285714285,0.06285714285714285
243,0.45999999999999996,0.4066666666666667
244,-0.075,-0.125
246,0.3,0.5
247,0.45,0.45
252,0.8,0.3
257,0.4285714285714285,0.4285714285714285
259,0.27499999999999997,0.27499999999999997
265,0.355,0.36999999999999994
274,0.225,0.125
276,0.7,0.7
278,0.0,1.0
281,0.2,0.7
295,0.4,0.4
296,0.875,0.875
297,-0.10000000000000002,-0.10000000000000002
298,0.125,0.125
300,0.34414062500000003,0.34414062500000003
303,0.0,0.0
308,-0.2352864583333333,-0.064912109375
309,0.55,0.55
316,0.6499999999999999,0.6499999999999999
326,-0.049999999999999996,-0.049999999999999996
327,-0.08666666666666667,-0.10200000000000001
331,0.40249999999999997,0.40249999999999997
332,0.375,0.375
336,1.0,1.0
340,-0.3,-0.125
342,0.875,0.875
343,0.8,0.8
345,0.5,0.5
347,0.2,0.2
348,0.7,0.7
355,0.9765625,0.9765625
359,0.375,0.675
360,0.4,0.4
361,0.18,0.18
362,0.38636363636363635,0.38636363636363635
363,0.135,0.135
364,0.0,0.0
365,0.7,0.7
366,0.18,0.18
367,0.18,0.18
